1918         1
1936	12
1937	15
1938	11
1939	18
1940	10
1941	13
1942	13
1943	8
1944	5
1945	9
1946	31
1947	10
1948	41
1949	52
1950	26
1951	21
1952	34
1953	114
1954	169
1955	159
1956	228
1957	249
1958	313
1959	531
1960	491
1961	721
1962	1030
1963	916
1964	906
1965	1082
1966	1276
1967	1589
1968	2038
1969	1939
1970	2015
1971	2663
1972	3064
1973	3600
1974	4078
1975	4389
1976	4864
1977	5300
1978	5803
1979	6005
1980	6980
1981	7789
1982	8871
1983	10059
1984	11700
1985	12396
1986	14421
1987	15729
1988	18925
1989	21948
1990	25666
1991	28551
1992	32595
1993	38871
1994	42866
1995	45291
1996	49287
1997	54013
1998	60013
1999	66809
2000	75863
2001	80955
2002	91010
2003	107875
2004	129819
2005	151846
2006	168161
2007	184799
2008	197778
2009	216949
2010	223488
2011	244541
2012	257093
2013	273467
2014	282730
2015	291376
2016	302271
2017	323201
2018	352137
2019	371320
2020	60118
